┌──────────────────────────────────┬─────────────┐
│             Country              │ COVID_count │
│ Aruba                            │ 1           │
│ Armenia                          │ 1           │
│ Argentina                        │ 1           │
│ Antigua and Barbuda              │ 1           │
│ Anguilla                         │ 1           │
│ Angola                           │ 1           │
│ Andorra                          │ 1           │
│ Algeria                          │ 1           │
│ Albania                          │ 1           │
│ Afghanistan                      │ 1           │
└──────────────────────────────────┴─────────────┘
